function-name,timestamp,monthly-cost,invocations,average-duration,cost-per-100m-requests
tf-phoenix-proda-shop-service,2023-04-01T00:00:00Z,766,225201572,198.7716173,340.1397216
tf-phoenix-proda-shop-service,2023-05-01T00:00:00Z,941,234595714,228.3953717,401.1155975
tf-phoenix-proda-shop-service,2023-06-01T00:00:00Z,1582,299651796,315.8439173,527.9461098
tf-phoenix-proda-shop-service,2023-07-01T00:00:00Z,2172,351697580,358.1284923,617.5760436
tf-phoenix-proda-shop-service,2023-08-01T00:00:00Z,2151,376571782,330.341949,571.2058372
tf-phoenix-proda-shop-service,2023-09-01T00:00:00Z,2213,418498367,314.2845433,528.7953728
tf-phoenix-proda-shop-service,2023-10-01T00:00:00Z,2483,485998070,294.1706917,510.9073787
tf-phoenix-proda-shop-service,2023-11-01T00:00:00Z,3820,739019536,306.5366724,516.901085
tf-phoenix-proda-shop-service,2023-12-01T00:00:00Z,3828,740791044,297.5957732,516.7449082
tf-phoenix-proda-shop-service,2024-01-01T00:00:00Z,2664,539147467,283.984449,494.1134222
tf-phoenix-proda-shop-service,2024-02-01T00:00:00Z,1735,415556661,254.948356,417.5122583
tf-phoenix-proda-shop-service,2024-03-01T00:00:00Z,1737,381090335,261.0152429,455.7974424